WeekHourIndex,DayOfWeek,HourOfDay,Cluster_0,Cluster_1,Cluster_2,Cluster_3
81,3,9,0.07135843570099253,0.04180236187423691,0.04552614182692307,0.16992416437728938
82,3,10,0.07470827498449137,0.04343891178266178,0.03901929086538462,0.22492702609890108
83,3,11,0.09311685389267992,0.04854304792429794,0.03549438100961538,0.25110416666666663
84,3,12,0.1031684952388338,0.060251079822954814,0.04178873197115384,0.21670455586080586
85,3,13,0.08534516648573201,0.053623981227106196,0.034472701322115384,0.2137719207875458
86,3,14,0.0730112042028536,0.04727534340659341,0.0312991436298077,0.2074526671245421
87,3,15,0.06692671513647647,0.04620360958485959,0.03194118088942308,0.20465899725274722
88,3,16,0.07211681491935486,0.04735188110500611,0.03914326923076923,0.18358922847985348
89,3,17,0.08531365615694787,0.05321026404151402,0.05402298677884615,0.1545777815934066
90,3,18,0.10813497726426802,0.06956610576923075,0.07865440204326922,0.11723712225274727
91,3,19,0.10798138864764271,0.08614029685592181,0.09836652644230766,0.07276379349816849
92,3,20,0.08523579889888336,0.08344292963980461,0.09771416766826924,0.05349353250915751
93,3,21,0.07181528973325062,0.0723258050976801,0.0947934044471154,0.047457932692307706
94,3,22,0.0587354902760546,0.06241653693528693,0.09578542668269228,0.04229864926739927
95,3,23,0.04425292129342434,0.05204060592185591,0.08073874699519226,0.03595793269230769
96,4,0,0.03491880063585607,0.0424891178266178,0.06637496995192307,0.03335880265567766
97,4,1,0.029205838244416867,0.03472282509157512,0.058295552884615374,0.0334581043956044
98,4,2,0.02691018881823823,0.031146371336996343,0.05434737079326922,0.03215396062271062
99,4,3,0.026328921246898267,0.02921807844932844,0.05316881009615384,0.030678342490842486
100,4,4,0.02679734768920596,0.02852933455433454,0.05246873497596155,0.03029796245421245
101,4,5,0.029826403427419355,0.029346405677655674,0.055260772235576926,0.03667954441391942
102,4,6,0.035243644277295275,0.0328730731074481,0.05933124999999999,0.040938988095238105
103,4,7,0.04989772391439205,0.03887602258852258,0.06220884915865388,0.06431971153846154
104,4,8,0.06301042169665012,0.042997512210012204,0.05878502103365383,0.09957119963369963
105,4,9,0.06875929516129033,0.04385551358363858,0.04851293569711536,0.14793446657509154
106,4,10,0.07179382026985112,0.04436980692918192,0.04149015925480771,0.18492925824175827
107,4,11,0.087200992028536,0.04987748397435897,0.037604176682692315,0.20030734890109886
108,4,12,0.09946801961848636,0.0624637820512821,0.041520477764423074,0.1952754120879121
109,4,13,0.083039037794665,0.057118685134310114,0.035012680288461544,0.18548391712454212
110,4,14,0.07092963021091812,0.04998191010378508,0.03440872896634613,0.1855030334249084
111,4,15,0.06768458132754342,0.04818008241758244,0.03436305588942308,0.15764949633699635
112,4,16,0.07048592859801486,0.04900905067155071,0.04126539963942305,0.14122893772893774
113,4,17,0.08165406015818859,0.05373721764346768,0.05475787259615385,0.12295770375457876
114,4,18,0.09963097309243177,0.06673973214285712,0.07633677884615385,0.10172590430402934
115,4,19,0.10054474240074442,0.07953163156288152,0.09828087439903846,0.0626858402014652
116,4,20,0.08180231501240696,0.07851951312576314,0.09835069110576929,0.04766620879120879
117,4,21,0.06939201470223326,0.06843453525641029,0.09323975360576922,0.047230654761904765
118,4,22,0.05890027178970224,0.06108655372405369,0.09674481670673082,0.03964703525641026
119,4,23,0.04759649388957817,0.05380755112942614,0.08260784254807696,0.03552821657509158
120,5,0,0.03732299863523574,0.045264968711843726,0.0670856069711538,0.03247876602564102
121,5,1,0.031156349224565744,0.03771584249084251,0.060404086538461535,0.031662030677655675
122,5,2,0.027894588337468985,0.033017536630036606,0.0560837890625,0.03047870879120879
123,5,3,0.02717795035669974,0.030361336233211224,0.05461099759615386,0.028846268315018315
124,5,4,0.026614637903225817,0.028968047924297913,0.05310216346153847,0.02870627289377289
125,5,5,0.027833896836228285,0.02912698412698413,0.054676592548076906,0.0292694597069597
126,5,6,0.0306232577853598,0.030364476495726517,0.056350931490384615,0.03175412087912087
127,5,7,0.03720664139267989,0.03413415369352867,0.055745703124999976,0.03764159798534798
128,5,8,0.054682913259925546,0.04093178800366304,0.05650546874999999,0.05892891483516484
129,5,9,0.06989015792493797,0.04749848519536018,0.053160772235576914,0.09508104395604396
130,5,10,0.07936472444168736,0.05302807921245423,0.04714256310096154,0.12726173305860802
131,5,11,0.08872802191377169,0.06069936660561662,0.046066751802884644,0.1364678914835165
